Date,Predicted_Price,rmse,mae,borough
2022-04-30,823958.5,276458.24038662977,97800.857957203,W10
2022-05-31,823958.5,276458.24038662977,97800.857957203,W10
2022-06-30,823958.5,276458.24038662977,97800.857957203,W10
2022-07-31,823958.5,276458.24038662977,97800.857957203,W10
2022-08-31,823958.5,276458.24038662977,97800.857957203,W10
2022-09-30,823958.5,276458.24038662977,97800.857957203,W10
2022-10-31,823958.5,276458.24038662977,97800.857957203,W10
2022-11-30,823958.5,276458.24038662977,97800.857957203,W10
2022-12-31,823958.5,276458.24038662977,97800.857957203,W10
2022-01-31,903486.6,156047.8730892677,80102.57881595226,N5
2022-02-28,877167.0,156047.8730892677,80102.57881595226,N5
2022-03-31,877167.0,156047.8730892677,80102.57881595226,N5
2022-04-30,903486.6,156047.8730892677,80102.57881595226,N5
2022-05-31,903486.6,156047.8730892677,80102.57881595226,N5
2022-06-30,903486.6,156047.8730892677,80102.57881595226,N5
2022-07-31,903486.6,156047.8730892677,80102.57881595226,N5
2022-08-31,903486.6,156047.8730892677,80102.57881595226,N5
2022-09-30,899914.7,156047.8730892677,80102.57881595226,N5
2022-10-31,903486.6,156047.8730892677,80102.57881595226,N5
2022-11-30,899914.7,156047.8730892677,80102.57881595226,N5
2022-12-31,899914.7,156047.8730892677,80102.57881595226,N5
2022-01-31,474337.1,44641.13645212559,26770.859730624103,DA15
2022-02-28,472573.38,44641.13645212559,26770.859730624103,DA15
2022-03-31,473777.4,44641.13645212559,26770.859730624103,DA15
2022-04-30,475540.34,44641.13645212559,26770.859730624103,DA15
2022-05-31,474337.1,44641.13645212559,26770.859730624103,DA15
2022-06-30,475540.34,44641.13645212559,26770.859730624103,DA15
2022-07-31,475540.34,44641.13645212559,26770.859730624103,DA15
2022-08-31,476201.53,44641.13645212559,26770.859730624103,DA15
2022-09-30,474569.47,44641.13645212559,26770.859730624103,DA15
2022-10-31,475540.34,44641.13645212559,26770.859730624103,DA15
2022-11-30,475589.5,44641.13645212559,26770.859730624103,DA15
2022-12-31,476154.16,44641.13645212559,26770.859730624103,DA15
2022-01-31,629598.94,137635.85675395164,65254.18663025215,SW15
2022-02-28,628705.6,137635.85675395164,65254.18663025215,SW15
2022-03-31,628705.6,137635.85675395164,65254.18663025215,SW15
2022-04-30,628705.6,137635.85675395164,65254.18663025215,SW15
2022-05-31,628705.6,137635.85675395164,65254.18663025215,SW15
2022-06-30,628705.6,137635.85675395164,65254.18663025215,SW15
2022-07-31,628705.6,137635.85675395164,65254.18663025215,SW15
2022-08-31,636065.6,137635.85675395164,65254.18663025215,SW15
2022-09-30,636065.6,137635.85675395164,65254.18663025215,SW15
2022-10-31,627266.44,137635.85675395164,65254.18663025215,SW15
2022-11-30,612647.9,137635.85675395164,65254.18663025215,SW15
